,PLAYER_NAME,TOTAL_MADE_SHOTS,TOTAL_ATTEMPTED_SHOTS,TOTAL_MISSED_SHOTS,In The Paint (Non-RA) - Center,Above the Break 3 - Center,Restricted Area - Center,Above the Break 3 - Left Side Center,Above the Break 3 - Right Side Center,Mid-Range - Center,In The Paint (Non-RA) - Right Side,Right Corner 3 - Right Side,Mid-Range - Right Side,In The Paint (Non-RA) - Left Side,Left Corner 3 - Left Side,Mid-Range - Left Side,Mid-Range - Right Side Center,Mid-Range - Left Side Center,Backcourt - Back Court,Above the Break 3 - Back Court,Dunk,Hook,Fadeaway,Step Back,Cutting,Turnaround,Floater,Jumpshot,Driving,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,height
30,Malachi Flynn,136,325,189,42,28,68,80,34,10,5,10,4,3,17,9,4,11,0,0,0,2,5,19,2,1,33,241,89,12.7,2,4.7,0.418,0.8,2.4,0.331,1.2,2.3,0.513,0.505,0.8,1,0.732,0.3,1.3,1.7,1.9,0.6,0.1,0.9,1,5.5,185
31,Chris Boucher,110,217,107,20,8,97,24,19,2,0,23,1,0,20,2,0,1,0,0,20,4,1,3,19,7,5,109,14,14.1,2.2,4.3,0.507,0.6,1.9,0.33,1.6,2.5,0.642,0.578,1.4,1.8,0.772,1.2,2.9,4.1,0.5,0.3,0.5,0.6,1.4,6.4,206
32,OG Anunoby,282,577,295,62,29,197,62,40,13,1,54,12,3,82,13,4,5,0,0,83,8,12,44,15,8,12,346,108,34,5.6,11.5,0.489,2,5.3,0.382,3.6,6.2,0.581,0.577,1.3,1.8,0.753,0.9,3.2,4.2,2.1,1.4,0.7,1.6,2.4,14.7,201
33,Immanuel Quickley,388,894,506,194,79,125,119,147,13,17,52,57,7,36,25,17,6,0,0,5,5,25,80,5,16,186,723,263,29.2,5.7,13.1,0.434,2.5,6.4,0.395,3.2,6.8,0.471,0.53,3.1,3.6,0.853,0.3,3.6,3.8,4.9,0.7,0.1,1.5,1.8,17,190
34,RJ Barrett,436,880,444,202,31,366,45,83,13,10,63,10,10,28,12,2,5,0,0,44,19,16,10,40,29,110,426,319,31.7,7.5,15.2,0.495,1.6,4.3,0.36,6,10.9,0.549,0.547,3.6,5,0.715,0.9,4.5,5.4,3.3,0.5,0.4,2.2,2.2,20.2,198
35,Bruce Brown,278,582,304,162,22,177,31,45,8,11,43,26,9,22,10,7,8,1,0,12,8,4,9,22,15,118,358,185,27.9,4.1,8.7,0.478,0.8,2.4,0.323,3.4,6.2,0.538,0.523,1.7,2.1,0.824,0.8,3.4,4.2,2.9,0.9,0.3,1.3,2.2,10.8,193
36,Jordan Nwora,138,299,161,45,17,94,45,28,4,6,19,10,0,20,3,5,1,2,0,10,6,1,25,15,4,33,191,68,13.7,2.7,5.8,0.462,0.8,2.5,0.336,1.8,3.2,0.56,0.535,0.8,1,0.83,0.5,2.3,2.9,1.2,0.5,0.3,1,0.9,7,203
37,Zach Collins,298,616,318,172,81,205,49,32,21,3,6,11,3,13,14,5,1,0,0,26,107,9,4,41,60,48,292,83,22.1,4.3,8.9,0.484,0.8,2.6,0.32,3.5,6.3,0.552,0.531,1.8,2.3,0.753,1.7,3.7,5.4,2.8,0.5,0.8,1.9,3,11.2,211
38,Jeremy Sochan,340,776,436,166,23,316,54,71,8,8,38,21,7,37,11,6,6,4,0,76,46,31,2,66,78,30,362,156,29.6,4.6,10.5,0.438,0.9,3.1,0.308,3.6,7.4,0.492,0.483,1.5,1.9,0.771,1.9,4.6,6.4,3.4,0.8,0.5,1.9,2.3,11.6,203
39,Victor Wembanyama,551,1186,635,180,129,396,134,108,38,13,11,59,13,11,51,19,23,1,0,187,51,70,62,44,105,43,647,143,29.7,7.8,16.7,0.465,1.8,5.5,0.325,6,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,221
40,Devin Vassell,498,1056,558,138,88,199,133,133,57,15,41,77,10,49,51,37,26,2,0,53,1,59,75,31,35,74,804,195,33.1,7.3,15.5,0.472,2.4,6.6,0.372,4.9,9,0.544,0.55,2.4,3,0.801,0.4,3.4,3.8,4.1,1.1,0.3,1.6,1.1,19.5,196
41,Keldon Johnson,391,862,471,147,51,289,95,103,7,14,59,14,7,58,7,7,3,1,0,33,22,4,12,40,24,86,511,258,29.5,5.7,12.5,0.454,1.8,5.3,0.346,3.8,7.2,0.533,0.527,2.5,3.2,0.792,1.4,4.1,5.5,2.8,0.7,0.3,1.4,2.2,15.7,196
42,Cedi Osman,184,384,200,42,31,100,71,65,3,1,30,7,3,24,6,1,0,0,0,2,2,0,5,12,1,29,266,86,17.6,2.6,5.3,0.479,1.2,3.1,0.389,1.4,2.3,0.601,0.591,0.5,0.7,0.673,0.3,2.2,2.5,1.7,0.5,0.2,0.7,1.5,6.8,201
43,Tre Jones,303,600,297,120,32,231,50,28,4,13,41,16,12,37,10,3,1,2,0,2,2,3,3,22,1,130,351,255,27.8,3.9,7.8,0.505,0.8,2.5,0.335,3.1,5.3,0.584,0.558,1.3,1.5,0.856,0.8,3,3.8,6.2,1,0.1,1.5,1.2,10,185
44,Malaki Branham,271,628,357,111,37,144,84,73,20,8,39,23,11,35,18,14,11,0,0,12,5,2,16,36,8,70,461,138,21.3,3.6,8.4,0.432,1.2,3.6,0.347,2.4,4.8,0.494,0.506,0.7,0.8,0.873,0.4,1.6,2,2.1,0.4,0.1,1.2,1.3,9.2,193
45,Doug McDermott,123,284,161,11,48,30,60,72,2,1,15,4,0,34,4,2,1,0,0,6,1,1,0,10,3,13,253,26,14.1,1.9,4.4,0.433,1.5,3.6,0.41,0.5,0.9,0.527,0.599,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0,0.4,1,5.5,198
46,Julian Champagnie,164,402,238,25,25,86,87,72,1,4,44,4,1,49,3,1,0,0,0,27,1,2,3,16,2,13,301,51,19.8,2.2,5.4,0.408,1.4,3.7,0.365,0.9,1.7,0.504,0.534,1,1.2,0.815,0.6,2.2,2.8,1.4,0.6,0.6,0.8,1,6.8,203
47,Blake Wesley,102,215,113,37,5,110,9,21,1,0,13,6,0,5,4,0,2,2,0,25,1,0,2,12,2,27,98,71,14.4,1.7,3.5,0.474,0.2,0.9,0.218,1.5,2.6,0.563,0.502,0.9,1.3,0.667,0.3,1.2,1.5,2.7,0.5,0.1,0.9,1.5,4.4,196
48,Domantas Sabonis,634,1068,434,283,40,610,21,21,28,8,3,17,8,2,15,9,3,0,0,121,144,29,6,165,91,19,209,215,35.7,7.7,13,0.594,0.4,1.1,0.379,7.3,12,0.613,0.609,3.6,5.1,0.704,3.6,10.1,13.7,8.2,0.9,0.6,3.3,3,19.4,208
49,Kevin Huerter,248,560,312,69,70,100,73,136,5,10,32,12,8,30,7,5,3,0,0,11,5,15,30,25,9,39,427,68,24.4,3.9,8.8,0.443,1.9,5.3,0.361,2,3.4,0.571,0.553,0.6,0.7,0.766,0.6,2.9,3.5,2.6,0.7,0.4,0.8,2.1,10.2,201
50,Harrison Barnes,347,732,385,128,43,155,81,95,3,7,73,13,8,93,26,4,3,0,0,25,9,38,24,23,29,65,513,151,29,4.2,8.9,0.474,1.8,4.7,0.387,2.4,4.2,0.571,0.576,1.9,2.4,0.801,0.8,2.2,3,1.2,0.7,0.1,0.7,1.2,12.2,203
51,Keegan Murray,443,975,532,135,96,176,110,170,34,6,55,31,12,79,33,18,19,1,0,82,7,52,53,40,21,69,736,132,33.6,5.8,12.7,0.454,2.4,6.6,0.358,3.4,6,0.56,0.548,1.3,1.6,0.831,1.4,4.1,5.5,1.7,1,0.8,0.8,2.7,15.2,203
52,Malik Monk,396,893,497,146,94,195,128,138,25,20,32,21,8,31,19,17,19,0,0,44,4,38,64,8,6,103,644,239,26,5.5,12.4,0.443,2.1,5.9,0.35,3.4,6.5,0.528,0.526,2.4,2.8,0.829,0.4,2.6,2.9,5.1,0.6,0.5,2.1,2.2,15.4,190
53,Davion Mitchell,146,323,177,52,27,70,55,29,18,4,18,8,1,29,3,5,4,0,0,0,2,1,19,6,1,26,226,84,15.3,2,4.5,0.452,0.8,2.2,0.361,1.2,2.3,0.539,0.54,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0,0.6,1.2,5.3,188
54,Chris Duarte,80,210,130,21,14,38,38,30,3,0,16,5,2,28,7,3,4,1,0,5,0,12,15,10,3,9,160,21,12.2,1.4,3.6,0.381,0.7,2.2,0.346,0.6,1.4,0.434,0.486,0.4,0.6,0.788,0.4,1.4,1.8,0.7,0.5,0.1,0.4,1.4,3.9,198
55,Keon Ellis,107,232,125,16,21,30,65,28,3,0,24,1,3,29,6,2,3,1,0,7,1,4,17,2,2,10,196,9,17.2,1.9,4.1,0.461,1.2,2.9,0.417,0.6,1.1,0.578,0.612,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2,5.4,198
56,De'Aaron Fox,720,1549,829,437,138,262,203,155,71,18,31,25,31,52,56,21,48,1,0,27,8,107,132,13,65,192,1143,394,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2,0.4,2.6,2.6,26.6,190
57,Trey Lyles,143,321,178,17,25,71,54,52,0,1,38,1,1,47,9,1,1,3,0,8,2,9,0,13,7,8,235,25,20,2.5,5.5,0.445,1.4,3.8,0.384,1,1.8,0.578,0.576,0.8,1.2,0.7,1.1,3.4,4.4,1.2,0.3,0.3,0.7,1.5,7.2,206
58,Jerami Grant,383,850,467,161,16,250,64,94,24,10,49,34,12,53,26,40,17,0,0,24,38,58,8,8,46,79,515,286,33.9,7.1,15.7,0.451,2.1,5.1,0.402,5,10.6,0.474,0.516,4.7,5.8,0.817,0.7,2.9,3.5,2.8,0.8,0.6,2.1,2.2,21,201
59,Malcolm Brogdon,218,496,278,60,38,131,68,67,26,7,10,10,6,16,20,19,18,0,0,1,1,15,37,2,6,55,341,160,28.7,5.6,12.7,0.44,2.1,5.1,0.412,3.5,7.6,0.458,0.522,2.4,3,0.819,0.7,3.1,3.8,5.5,0.7,0.2,1.5,1.5,15.7,193
60,Shaedon Sharpe,176,434,258,56,33,131,62,49,15,6,13,9,2,20,10,16,9,3,0,31,2,9,40,16,9,30,276,100,33.1,5.5,13.6,0.406,1.9,5.6,0.333,3.6,7.9,0.457,0.475,3.1,3.7,0.824,1.3,3.7,5,2.9,0.9,0.4,2.3,2.8,15.9,198
61,Deandre Ayton,427,749,322,248,2,248,0,3,117,18,3,27,12,1,28,20,21,1,0,88,121,70,3,33,165,46,358,56,32.4,7.8,13.6,0.57,0,0.2,0.1,7.7,13.4,0.576,0.571,1.2,1.4,0.823,3.2,7.9,11.1,1.6,1,0.8,1.8,2,16.7,213
62,Matisse Thybulle,126,317,191,26,9,52,52,74,1,1,44,3,2,51,0,1,0,1,0,8,6,0,5,8,0,15,247,48,22.9,1.9,4.9,0.397,1.2,3.6,0.346,0.7,1.3,0.535,0.524,0.3,0.4,0.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4,196
