,PLAYER_NAME,TOTAL_MADE_SHOTS,TOTAL_ATTEMPTED_SHOTS,TOTAL_MISSED_SHOTS,In The Paint (Non-RA) - Center,Above the Break 3 - Center,Restricted Area - Center,Above the Break 3 - Left Side Center,Above the Break 3 - Right Side Center,Mid-Range - Center,In The Paint (Non-RA) - Right Side,Right Corner 3 - Right Side,Mid-Range - Right Side,In The Paint (Non-RA) - Left Side,Left Corner 3 - Left Side,Mid-Range - Left Side,Mid-Range - Right Side Center,Mid-Range - Left Side Center,Backcourt - Back Court,Above the Break 3 - Back Court,Dunk,Hook,Fadeaway,Step Back,Cutting,Turnaround,Floater,Jumpshot,Driving,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,height
89,Nicolas Batum,116,256,140,5,22,53,28,31,1,0,52,6,1,51,3,2,0,1,0,9,1,8,5,10,5,0,201,2,25.5,1.9,4.3,0.453,1.2,3.1,0.395,0.7,1.2,0.606,0.596,0.3,0.4,0.714,1.2,3,4.1,2.1,0.8,0.6,0.7,1.8,5.3,203
90,Marcus Morris Sr.,116,264,148,35,20,27,34,27,19,4,12,12,5,25,21,12,10,1,0,2,0,30,9,2,31,1,220,11,16.7,2.4,5.4,0.439,1,2.4,0.403,1.4,3,0.469,0.53,0.7,0.9,0.818,0.5,2.3,2.7,0.7,0.3,0.3,0.6,1.5,6.4,203
91,Cameron Payne,208,481,273,72,55,85,77,98,12,7,24,9,8,12,13,4,4,1,0,0,2,2,42,2,2,91,386,158,16.7,2.7,6.2,0.432,1.3,3.4,0.39,1.3,2.7,0.486,0.541,0.7,0.9,0.866,0.3,1.2,1.5,2.6,0.5,0.1,0.8,1.6,7.4,190
92,Buddy Hield,371,850,479,57,131,170,220,110,10,1,44,6,3,63,16,10,9,0,0,7,1,14,53,16,2,14,648,137,25.7,4.4,10.1,0.436,2.6,6.8,0.386,1.8,3.4,0.539,0.565,0.6,0.7,0.881,0.7,2.5,3.2,2.8,0.8,0.5,1.2,2,12.1,193
93,Kyle Lowry,163,377,214,47,38,51,83,62,10,2,21,3,3,44,5,1,5,2,0,0,4,17,14,9,12,25,310,54,28.2,2.7,6.3,0.432,1.6,4.2,0.392,1.1,2.1,0.512,0.562,1.1,1.3,0.84,0.6,2.7,3.2,4.2,1,0.4,1.4,2.4,8.1,183
94,Jalen Suggs,336,714,378,73,59,183,101,120,8,3,45,21,6,59,17,9,9,1,0,34,0,17,56,27,14,52,508,115,27,4.5,9.5,0.471,2,5.1,0.397,2.4,4.4,0.556,0.578,1.6,2.1,0.756,0.6,2.4,3.1,2.7,1.4,0.6,1.8,2.7,12.6,196
95,Paolo Banchero,640,1407,767,271,93,419,113,116,74,21,16,125,10,11,66,53,17,2,0,88,23,125,93,34,147,86,816,355,35,8,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7,0.725,1,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,208
96,Goga Bitadze,126,209,83,24,5,166,2,3,0,0,3,1,1,1,2,0,1,0,0,57,15,2,0,41,8,2,20,8,15.4,2,3.4,0.603,0,0.2,0.143,2,3.1,0.636,0.608,0.9,1.4,0.655,1.8,2.9,4.6,1.3,0.5,1.2,0.7,1.7,5,211
97,Franz Wagner,528,1096,568,237,66,456,127,95,9,15,16,17,7,25,8,9,4,4,1,66,64,8,67,62,36,107,497,441,32.5,7.3,15.2,0.482,1.3,4.6,0.281,6,10.6,0.57,0.525,3.8,4.4,0.85,1,4.3,5.3,3.7,1.1,0.4,1.9,2.3,19.7,208
98,Anthony Black,115,247,132,26,7,92,17,22,9,3,28,6,1,20,8,3,5,0,0,27,1,5,5,23,3,21,149,50,16.9,1.7,3.6,0.466,0.5,1.4,0.394,1.1,2.2,0.51,0.54,0.7,1.2,0.613,0.5,1.5,2,1.3,0.5,0.3,0.8,1.6,4.6,201
99,Joe Ingles,99,227,128,33,22,27,33,70,0,1,19,1,3,15,0,1,0,2,0,0,1,1,16,2,1,17,184,48,17.2,1.5,3.3,0.436,1,2.4,0.435,0.4,1,0.439,0.59,0.4,0.5,0.824,0.3,1.8,2.1,3,0.6,0.1,1,1.3,4.4,203
100,Cole Anthony,332,763,431,167,41,150,138,35,22,17,23,38,11,35,46,23,14,3,0,11,12,56,31,9,44,94,567,179,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3,6,0.49,0.496,2.2,2.7,0.826,0.8,3,3.8,2.9,0.8,0.5,1.6,2.2,11.6,188
101,Jonathan Isaac,146,286,140,8,10,131,23,21,6,1,26,12,1,30,7,5,3,1,1,58,1,3,5,33,7,1,147,10,15.8,2.5,4.9,0.51,0.7,1.9,0.375,1.8,3,0.598,0.584,1,1.4,0.72,1.3,3.2,4.5,0.5,0.7,1.2,0.5,1.1,6.8,208
102,Moritz Wagner,332,552,220,72,27,354,27,20,3,1,25,3,1,15,2,0,1,1,0,50,24,4,0,138,22,9,141,109,17.7,4.2,6.9,0.601,0.5,1.4,0.33,3.7,5.5,0.673,0.636,2.1,2.6,0.814,1.5,2.9,4.3,1.2,0.5,0.3,1.2,2,10.9,211
103,Caleb Houstan,80,206,126,3,21,7,51,46,1,0,33,0,0,42,1,1,0,0,0,0,0,0,3,1,0,2,201,1,13.8,1.4,3.5,0.388,1.2,3.3,0.373,0.1,0.2,0.615,0.563,0.4,0.4,0.808,0.5,0.9,1.4,0.5,0.3,0.1,0.3,1,4.3,203
104,Gary Harris,131,297,166,25,19,49,58,36,4,2,32,3,0,59,5,1,3,1,0,6,2,2,11,9,3,16,236,48,24,2.4,5.5,0.441,1.4,3.8,0.371,1,1.7,0.598,0.569,0.6,0.8,0.756,0.4,1.2,1.7,1.6,0.9,0.3,0.6,1.7,6.9,193
105,Markelle Fultz,154,326,172,89,1,145,2,1,9,8,5,18,4,8,21,7,7,1,0,14,24,10,7,13,29,29,135,116,21.2,3.6,7.6,0.472,0.1,0.4,0.222,3.5,7.2,0.487,0.479,0.5,0.8,0.697,1.3,1.9,3.2,2.8,1,0.3,1.2,1.5,7.8,193
106,Wendell Carter Jr.,223,425,202,69,43,168,22,34,8,1,37,1,0,35,3,3,1,0,0,79,24,6,0,29,27,16,228,34,25.6,4.1,7.7,0.525,1.2,3.1,0.374,2.9,4.6,0.626,0.6,1.7,2.4,0.694,2,4.9,6.9,1.7,0.6,0.5,1.2,2.2,11,208
107,Chet Holmgren,505,953,448,171,85,339,135,88,17,12,9,22,9,30,16,12,6,2,0,149,23,38,19,50,59,62,525,162,29.4,6.2,11.6,0.53,1.6,4.3,0.37,4.6,7.4,0.623,0.598,2.7,3.4,0.793,1.6,6.3,7.9,2.4,0.6,2.3,1.6,2.4,16.5,216
108,Cason Wallace,217,442,225,45,10,110,49,52,11,7,62,9,5,61,6,12,3,0,0,24,3,2,24,30,1,30,312,64,20.6,2.6,5.4,0.491,1.2,2.9,0.419,1.5,2.5,0.572,0.602,0.4,0.5,0.784,0.6,1.6,2.3,1.5,0.9,0.5,0.5,1.6,6.8,193
109,Luguentz Dort,288,657,369,49,39,160,106,136,15,4,55,8,3,60,9,4,9,0,0,27,0,8,32,43,1,24,483,86,28.4,3.6,8.3,0.438,2,5,0.394,1.7,3.3,0.506,0.557,1.6,2,0.826,0.9,2.7,3.6,1.4,0.9,0.6,0.9,2.9,10.9,193
110,Josh Giddey,402,847,445,196,20,318,81,46,6,15,31,18,13,65,25,5,8,0,0,5,20,10,8,49,26,175,479,276,25.1,5,10.6,0.475,1,3,0.337,4,7.6,0.53,0.523,1.3,1.6,0.806,1.4,5,6.4,4.8,0.6,0.6,2.1,1.4,12.3,203
111,Jalen Williams,536,993,457,219,53,307,91,71,28,18,14,25,42,12,54,30,29,0,0,74,10,70,107,43,15,81,590,285,31.3,7.5,14,0.54,1.5,3.4,0.427,6.1,10.6,0.576,0.592,2.5,3.1,0.814,0.5,3.5,4,4.5,1.1,0.6,1.7,2.5,19.1,198
112,Isaiah Joe,222,485,263,18,46,48,143,82,13,2,27,13,3,53,13,5,17,2,0,19,0,9,41,18,0,4,428,14,18.5,2.8,6.2,0.458,1.9,4.5,0.416,1,1.7,0.568,0.609,0.6,0.7,0.865,0.4,1.9,2.3,1.3,0.6,0.3,0.6,1.1,8.2,196
113,Aaron Wiggins,212,377,165,43,4,181,39,30,3,6,8,3,5,45,8,0,2,0,0,16,2,13,8,41,15,21,166,84,15.7,2.7,4.8,0.562,0.8,1.6,0.492,1.9,3.2,0.598,0.645,0.7,0.9,0.789,0.8,1.6,2.4,1.1,0.7,0.2,0.7,1.2,6.9,198
114,Jaylin Williams,95,228,133,22,41,49,47,22,0,2,11,3,1,23,4,2,1,0,0,6,0,1,1,13,3,18,175,16,13,1.4,3.3,0.417,0.8,2.1,0.368,0.6,1.2,0.5,0.533,0.5,0.6,0.805,0.5,2.9,3.4,1.6,0.4,0.4,0.5,1.4,4,203
115,Vasilije Micic,159,370,211,52,40,116,40,60,14,2,3,19,0,11,2,5,6,0,0,1,1,4,32,2,6,19,232,130,19.6,2.7,6.2,0.43,0.7,2.6,0.279,1.9,3.6,0.537,0.488,1,1.3,0.813,0.2,1.2,1.5,4.4,0.5,0.1,1.7,1.1,7,196
116,Shai Gilgeous-Alexander,796,1487,691,347,63,451,108,81,62,38,4,98,46,13,97,34,45,0,0,40,4,188,262,22,122,91,876,421,34,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2,0.9,2.2,2.5,30.1,198
117,Kenrich Williams,131,280,149,25,20,88,38,35,3,1,23,2,0,24,7,9,4,1,0,9,4,4,6,23,3,5,172,23,14.9,1.9,4.1,0.468,0.8,2,0.397,1.1,2,0.54,0.568,0.1,0.2,0.5,0.9,2.1,3,1.3,0.6,0.1,0.5,1.5,4.7,201
118,Tre Mann,145,316,171,61,16,93,37,46,4,1,12,10,3,15,10,2,6,0,0,7,1,7,44,2,2,59,223,118,24.1,3.5,7.7,0.459,1.1,3.1,0.373,2.4,4.6,0.516,0.533,1.1,1.4,0.763,0.5,3.1,3.6,4,1.2,0.1,1.6,1.2,9.3,190
119,Davis Bertans,92,234,142,2,31,19,62,59,0,0,19,4,1,28,7,0,1,1,0,4,0,6,6,2,1,1,216,7,9.5,1.2,3,0.39,1,2.6,0.384,0.2,0.4,0.429,0.555,0.2,0.3,0.833,0.2,0.8,1,0.4,0.2,0.2,0.2,0.8,3.6,208
120,Gordon Hayward,187,403,216,82,12,108,21,29,19,17,12,32,6,16,17,18,14,0,0,21,3,33,25,18,28,55,273,93,24.4,3.7,7.9,0.464,0.7,1.8,0.411,2.9,6.1,0.479,0.51,1.7,2.4,0.742,0.7,2.8,3.5,3.1,0.8,0.3,1.3,1.3,9.8,201
121,Jalen Brunson,790,1648,858,447,110,284,116,227,71,25,51,92,52,21,62,49,40,1,0,3,9,72,173,9,84,369,1314,545,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,188
122,Julius Randle,395,836,441,205,54,267,80,73,11,14,18,40,15,19,27,6,7,0,0,27,21,81,67,23,78,70,464,209,35.4,8.6,18.2,0.472,1.7,5.3,0.311,6.9,12.9,0.539,0.518,5.1,6.6,0.781,2.2,7,9.2,5,0.5,0.3,3.5,2.7,24,206
123,Josh Hart,295,679,384,120,56,244,73,63,15,4,39,14,5,26,13,5,1,1,0,11,5,46,30,21,27,51,397,150,33.4,3.6,8.4,0.434,1,3.2,0.31,2.7,5.2,0.511,0.493,1.1,1.4,0.791,1.6,6.8,8.3,4.1,0.9,0.3,1.5,2.1,9.4,193
124,Quentin Grimes,122,328,206,9,25,64,92,40,4,0,19,0,0,64,7,2,2,0,0,7,0,2,23,8,1,3,259,30,20.1,2.4,6.4,0.372,1.6,4.7,0.338,0.8,1.7,0.466,0.495,0.7,0.9,0.756,0.3,1.7,2,1.3,0.7,0.1,0.5,1.5,7,196
125,Isaiah Hartenstein,235,365,130,90,2,258,0,1,5,2,0,0,2,0,4,1,0,0,0,94,34,4,0,55,19,65,74,45,25.3,3.1,4.9,0.644,0,0,0.333,3.1,4.8,0.646,0.645,1.5,2.1,0.707,3.3,5.1,8.3,2.5,1.2,1.1,1.2,2.8,7.8,213
126,Donte DiVincenzo,445,1004,559,76,67,190,251,197,7,5,81,7,4,106,5,2,3,3,0,25,1,2,19,38,5,64,797,149,29.1,5.5,12.4,0.443,3.5,8.7,0.401,2,3.7,0.542,0.584,1.1,1.4,0.754,0.8,2.9,3.7,2.7,1.3,0.4,1.4,2,15.5,193
127,Miles McBride,205,454,249,40,24,87,62,68,13,5,50,11,2,60,14,10,5,3,0,16,1,3,35,10,4,19,361,67,19.5,3,6.7,0.452,1.6,3.9,0.41,1.4,2.8,0.511,0.572,0.6,0.7,0.86,0.5,1,1.5,1.7,0.7,0.1,0.4,1.6,8.3,188
128,Evan Fournier,79,221,142,39,22,18,38,30,10,1,19,7,1,21,11,2,2,0,0,0,0,8,25,1,5,43,197,51,18.1,2.5,6.9,0.357,1,4.1,0.254,1.4,2.8,0.505,0.432,0.9,1.1,0.806,0.2,1.7,1.8,1.5,0.9,0.2,0.7,1.5,6.9,198
129,Bojan Bogdanovic,309,681,372,100,52,114,76,106,24,9,55,48,6,45,26,11,9,0,0,4,2,48,66,7,18,34,519,129,25.9,5.4,11.9,0.454,2.3,5.9,0.398,3.1,6.1,0.507,0.551,2.1,2.6,0.785,0.4,2.3,2.7,1.7,0.5,0.1,1.8,1.7,15.2,201
130,Alec Burks,210,569,359,70,47,65,93,92,16,9,47,30,8,51,16,13,12,0,0,0,2,18,23,2,14,52,485,95,18.4,3.2,8.6,0.369,1.9,5,0.376,1.3,3.6,0.36,0.478,2.2,2.5,0.868,0.4,1.9,2.3,1.3,0.4,0.2,0.7,1.1,10.4,198
131,Jonas Valanciunas,402,719,317,183,52,297,28,16,23,7,12,28,4,12,44,5,8,0,0,60,122,41,1,49,88,16,275,63,23.5,4.9,8.8,0.559,0.5,1.5,0.308,4.5,7.3,0.609,0.585,2,2.5,0.785,2.3,6.5,8.8,2.1,0.4,0.8,1.4,2.7,12.2,211
132,Brandon Ingram,500,1017,517,206,70,179,90,47,87,15,21,90,27,12,57,61,53,2,0,35,2,157,28,11,101,39,734,188,32.9,7.8,15.9,0.492,1.3,3.8,0.355,6.5,12.1,0.534,0.534,3.8,4.8,0.801,0.7,4.4,5.1,5.7,0.8,0.6,2.5,2.3,20.8,203
133,Zion Williamson,624,1094,470,309,1,721,5,10,3,18,1,5,11,1,7,0,2,0,0,88,41,6,1,35,52,98,189,657,31.5,8.9,15.6,0.57,0.1,0.3,0.333,8.8,15.4,0.574,0.573,5,7.1,0.702,1.7,4.1,5.8,5,1.1,0.7,2.8,2.3,22.9,198
134,Dyson Daniels,139,311,172,63,8,90,38,32,2,5,38,3,10,15,3,0,0,4,0,17,9,1,1,16,10,63,205,81,22.3,2.3,5.1,0.447,0.7,2.2,0.311,1.6,2.9,0.551,0.514,0.6,0.9,0.642,1,2.9,3.9,2.7,1.4,0.4,1,1.7,5.8,203
135,Jordan Hawkins,174,456,282,37,40,44,103,79,21,2,38,18,5,36,13,15,3,2,0,11,2,10,14,1,1,18,397,47,17.3,2.6,6.8,0.382,1.6,4.4,0.366,1,2.4,0.411,0.501,1,1.2,0.838,0.4,1.8,2.2,1,0.3,0.1,0.6,1.1,7.8,196
136,Herbert Jones,293,588,295,64,13,214,43,67,6,4,82,9,2,68,5,4,6,1,0,41,7,1,2,18,0,30,339,129,30.5,3.9,7.7,0.498,1.5,3.6,0.418,2.4,4.1,0.568,0.595,1.8,2.1,0.867,1,2.6,3.6,2.6,1.4,0.8,1.2,2.9,11,203
137,Naji Marshall,170,367,197,82,15,98,21,25,6,7,38,7,4,43,5,3,5,8,0,10,1,3,4,6,9,53,252,95,19,2.6,5.6,0.463,0.9,2.3,0.387,1.7,3.3,0.516,0.542,1,1.3,0.791,0.8,2.8,3.6,1.9,0.7,0.2,1,1.4,7.1,201
138,Jose Alvarado,142,345,203,57,18,62,69,59,4,5,32,4,3,28,1,1,1,1,0,0,3,0,5,8,1,55,272,80,18.4,2.5,6.2,0.412,1.4,3.7,0.377,1.1,2.5,0.464,0.525,0.6,0.9,0.673,0.4,1.8,2.3,2.1,1.1,0.3,0.7,1.6,7.1,183
139,Larry Nance Jr.,138,241,103,47,7,117,9,8,2,1,24,4,1,14,3,1,0,3,0,53,18,3,0,42,5,13,95,16,19.9,2.3,4,0.573,0.4,1.1,0.415,1.8,2.9,0.631,0.629,0.8,1,0.77,1.5,3.5,5,1.9,1,0.3,0.8,1.6,5.7,203
140,CJ McCollum,484,1055,571,191,110,151,203,175,27,11,42,32,16,26,34,19,17,0,1,5,2,27,105,4,16,208,880,298,32.7,7.3,16,0.459,3.6,8.4,0.429,3.7,7.5,0.492,0.572,1.7,2.1,0.827,0.6,3.7,4.3,4.6,0.9,0.6,1.7,1.9,20,190
141,Trey Murphy III,275,621,346,56,60,96,155,134,4,2,48,3,4,47,8,1,2,1,0,42,4,1,34,12,4,33,498,70,29.6,4.8,10.9,0.443,3,7.8,0.38,1.9,3.1,0.602,0.579,2.2,2.6,0.815,0.7,4.2,4.9,2.2,0.9,0.5,0.6,1.2,14.8,203
142,Rudy Gobert,406,614,208,83,2,512,0,0,1,3,0,4,2,0,3,1,2,1,0,271,28,2,1,104,14,23,44,51,34.1,5.3,8.1,0.661,0,0,0,5.3,8,0.664,0.661,3.3,5.1,0.638,3.8,9.2,12.9,1.3,0.7,2.1,1.6,3.1,14,216
143,Karl-Anthony Towns,479,951,472,185,148,317,96,53,21,9,8,17,24,21,31,8,12,1,0,41,84,26,28,26,62,120,514,340,32.7,7.7,15.3,0.504,2.2,5.3,0.416,5.5,10.1,0.55,0.575,4.1,4.7,0.873,1.5,6.8,8.3,3,0.7,0.7,2.9,3.3,21.8,213
144,Anthony Edwards,718,1558,840,261,140,423,157,178,59,18,20,66,25,32,80,50,44,5,0,79,7,109,144,30,104,116,995,430,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,193
145,Mike Conley,294,644,350,99,60,77,133,114,8,6,51,6,11,47,21,4,7,0,0,0,5,3,42,5,4,105,540,152,28.9,3.9,8.5,0.457,2.4,5.3,0.442,1.5,3.1,0.481,0.595,1.3,1.5,0.911,0.5,2.4,2.9,5.9,1.2,0.2,1.3,1.7,11.4,183
146,Naz Reid,406,851,445,160,99,244,104,87,1,13,56,7,7,60,10,0,1,2,0,42,86,1,4,27,59,50,472,221,24.2,5,10.5,0.477,2.1,5,0.414,2.9,5.5,0.535,0.576,1.3,1.8,0.736,0.9,4.3,5.2,1.3,0.8,0.9,1.4,2.1,13.5,206
147,Jaden McDaniels,307,628,321,113,15,171,46,33,9,11,70,18,9,89,34,4,4,2,0,58,6,32,22,17,26,48,413,139,29.2,4.3,8.7,0.489,1.2,3.5,0.337,3.1,5.2,0.592,0.557,0.8,1.1,0.722,0.8,2.3,3.1,1.4,0.9,0.6,1.2,3,10.5,206
148,Nickeil Alexander-Walker,236,538,302,54,54,105,59,55,7,0,76,5,10,88,10,6,6,2,1,11,5,5,29,8,11,28,399,108,23.4,2.9,6.6,0.439,1.6,4.1,0.391,1.3,2.5,0.517,0.56,0.6,0.8,0.8,0.4,1.6,2,2.5,0.8,0.5,0.9,1.7,8,196
149,Kyle Anderson,199,433,234,210,5,106,5,2,5,21,19,12,15,16,12,0,4,1,0,11,48,12,1,11,49,125,258,149,22.6,2.5,5.5,0.46,0.1,0.6,0.229,2.4,4.9,0.488,0.472,1.2,1.7,0.708,0.8,2.7,3.5,4.2,0.9,0.6,1.2,1.6,6.4,206
150,Troy Brown Jr.,84,226,142,19,11,40,38,41,7,0,24,8,3,25,4,2,2,2,0,4,1,4,16,7,6,14,177,31,14,1.4,3.8,0.372,0.8,2.4,0.333,0.6,1.4,0.435,0.476,0.5,0.6,0.865,0.4,2,2.4,1,0.4,0.1,0.5,0.7,4.2,198
151,Giannis Antetokounmpo,837,1369,532,207,57,853,41,22,41,4,0,14,7,3,62,12,45,1,0,264,81,67,8,81,94,35,303,476,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11,17.1,0.645,0.624,7,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,211
152,Damian Lillard,541,1277,736,141,155,315,254,169,41,6,16,26,14,21,45,27,40,7,0,13,1,62,191,12,6,97,898,403,35.3,7.4,17.5,0.424,3,8.5,0.354,4.4,9,0.49,0.51,6.5,7,0.92,0.5,3.9,4.4,7,1,0.2,2.6,1.8,24.3,188
153,Khris Middleton,317,643,326,96,43,78,98,56,31,14,17,47,15,33,61,25,29,0,0,3,12,86,45,5,75,71,501,108,27,5.8,11.7,0.493,1.7,4.5,0.381,4.1,7.2,0.563,0.566,1.8,2.2,0.833,0.7,3.9,4.7,5.3,0.9,0.3,2.3,2.6,15.1,201
154,Brook Lopez,366,755,389,82,112,221,107,126,9,8,36,13,6,23,9,0,3,0,0,44,28,22,13,63,25,43,488,81,30.5,4.6,9.6,0.485,1.9,5.1,0.366,2.8,4.4,0.621,0.583,1.4,1.7,0.821,1.5,3.7,5.2,1.6,0.5,2.4,1,2.4,12.5,216
155,Bobby Portis,466,918,452,179,40,228,50,48,23,14,50,49,17,58,127,11,24,0,0,26,119,82,22,37,208,59,475,100,24.5,5.7,11.2,0.508,1.2,3,0.407,4.5,8.2,0.545,0.562,1.2,1.5,0.79,1.7,5.7,7.4,1.3,0.8,0.4,1.1,2.3,13.8,208
156,Pat Connaughton,151,347,196,22,30,82,49,60,1,1,58,0,3,41,0,0,0,0,0,6,1,1,8,16,1,9,249,52,22.1,2,4.6,0.435,1.1,3.1,0.345,0.9,1.4,0.633,0.553,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6,196
157,Jae Crowder,114,270,156,29,11,39,36,41,3,3,33,17,0,44,9,4,0,1,0,0,1,3,10,17,2,30,220,32,23.1,2.3,5.4,0.422,1.2,3.3,0.349,1.1,2.1,0.538,0.53,0.5,0.7,0.722,0.6,2.6,3.2,1.3,0.8,0.2,0.5,1.5,6.2,198
158,Malik Beasley,320,722,402,53,57,72,130,130,6,7,131,13,2,94,10,6,11,0,0,6,2,7,36,2,1,52,638,87,29.6,4.1,9.1,0.443,2.8,6.9,0.413,1.2,2.3,0.533,0.598,0.3,0.4,0.714,0.5,3.2,3.7,1.4,0.7,0.1,0.7,2,11.3,193
159,Jimmy Butler,396,793,397,203,2,280,29,41,9,18,40,82,4,33,37,11,4,0,0,45,14,68,27,34,87,78,383,227,34,6.6,13.2,0.499,1,2.4,0.414,5.6,10.8,0.519,0.537,6.6,7.7,0.858,1.8,3.6,5.3,5,1.3,0.3,1.7,1.1,20.8,201
160,Bam Adebayo,530,1017,487,436,24,313,4,7,63,24,6,38,13,1,53,14,21,0,0,151,69,146,22,49,152,84,497,134,34,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,206
161,Tyler Herro,324,735,411,160,98,85,87,105,26,17,32,34,10,10,29,18,23,1,0,6,2,22,34,7,13,119,608,172,33.5,7.7,17.5,0.441,3.1,7.9,0.396,4.6,9.6,0.478,0.531,2.3,2.6,0.856,0.5,4.8,5.3,4.5,0.7,0.1,2.2,1.5,20.8,196
162,Haywood Highsmith,153,329,176,41,11,78,57,40,1,1,37,4,3,47,7,0,2,0,0,18,13,0,5,14,10,25,229,26,20.7,2.3,5,0.465,1.2,2.9,0.396,1.2,2.1,0.562,0.581,0.3,0.5,0.639,1,2.2,3.2,1.1,0.8,0.5,0.5,1.8,6.1,201
163,Duncan Robinson,304,675,371,79,91,103,126,139,1,4,58,8,1,57,2,1,3,2,0,3,2,6,15,27,3,58,551,111,28,4.5,9.9,0.45,2.8,7,0.395,1.7,3,0.579,0.589,1.2,1.3,0.889,0.2,2.3,2.5,2.8,0.7,0.2,1.4,2.4,12.9,201
164,Jaime Jaquez Jr.,341,697,356,177,17,254,39,33,3,11,49,24,4,59,17,5,1,3,1,35,44,33,5,53,73,48,302,172,28.2,4.5,9.3,0.489,0.9,2.7,0.322,3.7,6.6,0.558,0.536,1.9,2.3,0.811,1.1,2.7,3.8,2.6,1,0.3,1.5,2.2,11.9,198
165,Josh Richardson,154,347,193,52,29,56,78,36,15,4,20,5,5,26,9,1,10,1,0,8,6,12,15,9,11,13,271,44,25.7,3.6,8.1,0.444,1.5,4.4,0.347,2,3.7,0.561,0.539,1.2,1.3,0.944,0.4,2.4,2.8,2.4,0.6,0.3,0.8,1.8,9.9,196
166,Kevin Love,158,359,201,42,71,59,92,45,0,0,17,2,0,18,7,2,3,1,0,1,22,7,2,4,16,7,267,25,16.8,2.9,6.5,0.44,1.5,4.4,0.344,1.3,2.1,0.643,0.557,1.5,2,0.787,1.1,5.1,6.1,2.1,0.3,0.2,0.9,1.8,8.8,203
167,Caleb Martin,241,559,318,89,19,158,56,61,12,2,48,16,7,46,18,16,9,2,0,20,3,20,17,19,14,37,340,145,27.4,3.8,8.7,0.431,1.3,3.6,0.349,2.5,5.1,0.489,0.504,1.2,1.5,0.778,1.2,3.2,4.4,2.2,0.7,0.5,1.2,2,10,196
168,Nikola Jovic,127,281,154,44,17,63,40,56,0,1,25,3,2,24,4,0,1,0,1,2,7,2,11,14,3,21,191,48,19.5,2.8,6.1,0.452,1.4,3.5,0.399,1.3,2.6,0.525,0.568,0.7,1,0.702,0.5,3.6,4.2,2,0.5,0.3,0.9,1.8,7.7,208
169,Terry Rozier,442,998,556,191,30,218,137,111,29,13,52,44,10,78,35,22,26,2,0,2,4,29,206,6,17,144,729,283,33.4,7.2,16.4,0.443,2.4,6.7,0.363,4.8,9.6,0.498,0.518,2.8,3.2,0.869,0.6,3.5,4,5.6,1,0.3,1.7,1.7,19.8,185
170,Marcus Smart,102,237,135,49,19,29,39,40,6,1,14,6,7,20,2,2,1,2,0,0,1,8,7,2,13,25,202,41,30.3,5.1,11.9,0.43,2.1,6.7,0.313,3,5.2,0.583,0.519,2.2,2.8,0.768,0.3,2.4,2.7,4.3,2.1,0.3,3.1,2.7,14.5,190
171,Desmond Bane,360,776,416,107,85,200,107,112,27,5,27,18,3,28,19,23,13,2,0,7,12,17,69,12,3,67,540,216,34.4,8.6,18.5,0.464,3.3,8.6,0.381,5.3,9.9,0.536,0.552,3.3,3.8,0.87,0.9,3.5,4.4,5.5,1,0.5,2.7,2.9,23.7,196
172,Jaren Jackson Jr.,516,1161,645,394,97,339,73,131,7,18,26,11,17,31,6,1,2,8,0,39,152,5,12,20,109,202,628,454,32.2,7.8,17.6,0.444,1.8,5.5,0.32,6,12.1,0.501,0.494,5.1,6.3,0.808,1.3,4.2,5.5,2.3,1.2,1.6,2.4,3.6,22.5,208
173,Ziaire Williams,150,378,228,34,13,99,58,39,11,6,41,5,6,36,15,8,5,2,0,36,2,4,20,15,8,27,269,55,20.4,2.9,7.4,0.397,1.1,3.7,0.307,1.8,3.7,0.487,0.474,1.2,1.5,0.827,0.7,2.8,3.5,1.5,0.7,0.2,1.3,1.7,8.2,206
174,Luke Kennard,141,315,174,23,58,23,69,83,10,1,12,10,2,16,2,4,2,0,0,0,1,5,22,5,2,17,290,27,25.6,3.6,8.1,0.448,2.7,6.1,0.45,0.9,2,0.442,0.617,1,1.2,0.889,0.3,2.6,2.9,3.5,0.5,0.1,1.4,1,11,196
